,ROUNDS,TIME,M_RES,M_KD,M_SIG_STR,M_TOTAL_STR,M_TD,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_KD,OP_SIG_STR,OP_TOTAL_STR,OP_TD,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
ROUNDS,1.0,0.9801414235342757,-0.11989470332555108,-0.18144803340217278,0.6553902520488748,0.6747194305647601,0.26723657367416825,-0.020950644857521877,0.06171754410326534,0.3413354170295346,0.5584695657550005,0.5474370704241149,0.45885136595169246,0.6113532213043553,0.3172348266182294,0.092748659183032,0.11989470332555108,-0.05577832625539132,0.6728007615008608,0.7098427792166955,0.2806246171099814,0.05709450364158553,0.07737190974257362,0.35107656902805295,0.5940199164933857,0.5497719311945721,0.4742685232595265,0.6244733690781668,0.3618712401789802,0.18453520177263466
TIME,0.9801414235342757,1.0,-0.11919732870611627,-0.2091052130875506,0.6666553335267408,0.6939184292058656,0.2798928544504401,-0.022922828427138626,0.06997868787902638,0.3591639902151772,0.5657291086027613,0.5594719564528688,0.4704719214274802,0.6188520664308969,0.3331076641339266,0.09521370120631728,0.11919732870611627,-0.07070659151050272,0.6774199519575164,0.7190703845365872,0.28534231060348075,0.058906579780179796,0.08320398584327134,0.3572569187646053,0.5946909921998876,0.560287323928333,0.48007744496720073,0.6289890929038093,0.37078768160844905,0.17923198201177207
M_RES,-0.11989470332555108,-0.11919732870611627,1.0,0.290617953880346,0.11984680140122403,0.14717793171071444,0.18781344686628537,0.16038954855070983,0.021388677943428237,0.2147764496978662,0.16523342296210014,0.023852069405101203,-0.01142206038825541,0.03034960692560256,0.03290205996350336,0.27114410460851535,-1.0,-0.347459535004883,-0.3120669191021297,-0.3359071019672828,-0.258504304215616,-0.15122307827927692,-0.016248601200202505,-0.2984713133314548,-0.32074404029984166,-0.20436337220771486,-0.14789048636964405,-0.21317343788166593,-0.1677153343885169,-0.36537421963235667
M_KD,-0.18144803340217278,-0.2091052130875506,0.290617953880346,1.0,-0.02777311673316741,-0.1083855285995809,-0.1609607322534115,-0.08637599882315046,-0.06512638351864874,-0.15646435954884103,0.010941677917517012,-0.08018751886619732,-0.056697028529965,-0.02814264150933482,-0.06898279730658996,0.04423394074214144,-0.290617953880346,-0.10550025854817231,-0.14655784876145997,-0.20095632387913906,-0.15262236322359707,-0.09258235629319406,-0.05127409557501781,-0.17287493681958158,-0.12851655032686068,-0.13018989841572026,-0.09541668010694014,-0.09724346632918794,-0.11355184050508542,-0.15107118274353382
M_SIG_STR,0.6553902520488748,0.6666553335267408,0.11984680140122403,-0.02777311673316741,1.0,0.847746839722245,0.11902141685203382,-0.1414748452351584,-0.010314768944962248,0.15212629367568165,0.9275023230598941,0.7367323554569009,0.5936409858682538,0.9176711594895626,0.4509281279478834,0.21011696527761728,-0.11984680140122403,-0.06656579801275533,0.6640950812339321,0.5484246683596576,0.013096666487946025,-0.05697388497517117,-0.039381013981747585,-0.0028056656769422134,0.6197179250018612,0.5083023403027144,0.41192480470484094,0.7007709764289197,0.2869033964100189,-0.06373354153833467
M_TOTAL_STR,0.6747194305647601,0.6939184292058656,0.14717793171071444,-0.1083855285995809,0.847746839722245,1.0,0.33353435002178655,-0.027901857574021666,0.07377598226297195,0.4935314315440682,0.7985481486081487,0.6494869593422112,0.44539128091640395,0.6669795064799521,0.4856065271924836,0.4211851860961053,-0.14717793171071444,-0.10661205269359975,0.5012506441056287,0.49363421216461534,0.07496617658654618,0.018241212510887596,0.08793855748852442,0.10993388184707477,0.46688248916418423,0.40644410564778843,0.29084276549096866,0.4989018837320372,0.29944056328010654,-0.012197454871162224
M_TD,0.26723657367416825,0.2798928544504401,0.18781344686628537,-0.1609607322534115,0.11902141685203382,0.33353435002178655,1.0,0.1460498032005315,0.056020241533758494,0.7105515699824067,0.13100971309242915,0.08065567195575424,0.021810623828561096,-0.02021083164598564,0.11251700950066856,0.35481197305730505,-0.18781344686628537,-0.11009759410864552,-0.016476425452325937,0.06871185632827714,-0.0835196285750886,0.11832025037576013,0.19335108370092957,-0.07269937282005219,-0.015849036012615884,0.023205443890001527,-0.04419778171010156,-0.03040127090275543,0.0800064878836715,-0.028512589983980974
M_SUB_ATT,-0.020950644857521877,-0.022922828427138626,0.16038954855070983,-0.08637599882315046,-0.1414748452351584,-0.027901857574021666,0.1460498032005315,1.0,0.18498336896770542,0.19682604150438782,-0.11316638414371269,-0.09341116977238172,-0.14355942036309866,-0.18303641834160675,-0.030084362236878624,0.098705494615272,-0.16038954855070983,-0.09442320211782078,-0.1407427678538519,-0.07836445798534847,0.1325705941942231,0.019985657852437954,0.12386880942799501,0.15246289569756116,-0.12274786460903742,-0.10646864457354847,-0.11170062541291118,-0.1661036722269373,-0.03566333693146077,0.055406082050197966
M_REV,0.06171754410326534,0.06997868787902638,0.021388677943428237,-0.06512638351864874,-0.010314768944962248,0.07377598226297195,0.056020241533758494,0.18498336896770542,1.0,0.13007528170974633,0.013181314776929368,-0.007698974187110333,-0.0676003262846763,-0.053003808811755544,0.027186052807591433,0.09972785724523761,-0.021388677943428237,-0.02307438164429066,-0.02676045178624401,0.05392965827515935,0.22562331440229164,0.14703188163647313,0.3344511361495164,0.1978401930495469,-0.0025620640691996974,-0.025071450468892,-0.07251327141814584,-0.06031633496010801,0.02087926154615815,0.09094453370648188
M_CTRL,0.3413354170295346,0.3591639902151772,0.2147764496978662,-0.15646435954884103,0.15212629367568165,0.4935314315440682,0.7105515699824067,0.19682604150438782,0.13007528170974633,1.0,0.169392395575305,0.12799256280472154,-0.0027400251531006273,-0.08398063719362553,0.21626320804119165,0.5700514033906586,-0.21477644969786622,-0.13753673119908702,-0.04932524763462609,0.0930869082057997,-0.07286021484566445,0.16495792190976363,0.20851865584021234,-0.04288286534859953,-0.05012819536220448,0.03178908398722308,-0.08728902860872331,-0.08373572545537421,0.14432647569858123,-0.025902358495282853
M_HEAD,0.5584695657550005,0.5657291086027613,0.16523342296210014,0.010941677917517012,0.9275023230598941,0.7985481486081487,0.13100971309242915,-0.11316638414371269,0.013181314776929368,0.169392395575305,1.0,0.5295002965619334,0.3246490486891084,0.8295543182510248,0.3395835209290489,0.3163215449366294,-0.16523342296210014,-0.05971258425884299,0.5926662849318887,0.4798732762918067,0.0005916356593659633,-0.03662363485330224,-0.010734477015776633,-0.022949241210026675,0.568544712377171,0.43186424106371407,0.3472937498799365,0.6346923550371756,0.22290046637905217,-0.061314509358431434
M_BODY,0.5474370704241149,0.5594719564528688,0.023852069405101203,-0.08018751886619732,0.7367323554569009,0.6494869593422112,0.08065567195575424,-0.09341116977238172,-0.007698974187110333,0.12799256280472154,0.5295002965619334,1.0,0.4010250093313574,0.644685790902758,0.5910349703258501,0.05115788512922697,-0.023852069405101203,-0.05679246019712997,0.5119609735883601,0.46060565994788494,0.0787129535210736,-0.04536434976693091,-0.031718082850991106,0.10425961001046545,0.46186888715894203,0.44448721263604635,0.30857997237592816,0.4934983473861808,0.3637847223317768,-0.005385350850231159
M_LEG,0.45885136595169246,0.4704719214274802,-0.01142206038825541,-0.056697028529965,0.5936409858682538,0.44539128091640395,0.021810623828561096,-0.14355942036309866,-0.0676003262846763,-0.0027400251531006273,0.3246490486891084,0.4010250093313574,1.0,0.6342831143190661,0.2243330700276022,-0.10136174755221804,0.01142206038825541,-0.03732937567926333,0.43478268221722055,0.34749899451497257,-0.029326432644421873,-0.07436999381121194,-0.09051346301218678,-0.0518860777105612,0.3795442957721919,0.33959447603130843,0.3335940652885874,0.4799081371934126,0.13635721730745778,-0.07303319561905124
M_DIST,0.6113532213043553,0.6188520664308969,0.03034960692560256,-0.02814264150933482,0.9176711594895626,0.6669795064799521,-0.02021083164598564,-0.18303641834160675,-0.053003808811755544,-0.08398063719362553,0.8295543182510248,0.644685790902758,0.6342831143190661,1.0,0.2268011040378605,-0.12294767996820241,-0.03034960692560256,-0.025561618578632206,0.7164035644275748,0.5563696924704468,0.0022393454092558026,-0.10004980706212299,-0.07974004471267153,-0.04320094784889134,0.6710435603968409,0.5089352188958318,0.4763817107969277,0.7843294015599954,0.19254815949437284,-0.06817996586988165
M_CLIN,0.3172348266182294,0.3331076641339266,0.03290205996350336,-0.06898279730658996,0.4509281279478834,0.4856065271924836,0.11251700950066856,-0.030084362236878624,0.027186052807591433,0.21626320804119165,0.3395835209290489,0.5910349703258501,0.2243330700276022,0.2268011040378605,1.0,0.03687012073084034,-0.03290205996350336,-0.05106262349469399,0.2666613345813774,0.312188114117113,0.1322782423155363,0.011914942096060265,0.001429022866257417,0.22379175130364296,0.21790900049577341,0.3421742704043703,0.11291374187826207,0.1662545674662531,0.5479569317414399,0.00955380529847674
M_GROUND,0.092748659183032,0.09521370120631728,0.27114410460851535,0.04423394074214144,0.21011696527761728,0.4211851860961053,0.35481197305730505,0.098705494615272,0.09972785724523761,0.5700514033906586,0.3163215449366294,0.05115788512922697,-0.10136174755221804,-0.12294767996820241,0.03687012073084034,1.0,-0.27114410460851535,-0.10082765208358059,-0.14495589193298083,-0.08690983442377166,-0.06388480225977748,0.09780960560637372,0.10330156094470544,-0.04993641242399274,-0.11930185921270342,-0.10076958348613205,-0.1429922199073093,-0.14845588216688468,-0.04964555854510345,-0.014136646701028911
OP_RES,0.11989470332555108,0.11919732870611627,-1.0,-0.290617953880346,-0.11984680140122403,-0.14717793171071444,-0.18781344686628537,-0.16038954855070983,-0.021388677943428237,-0.21477644969786622,-0.16523342296210014,-0.023852069405101203,0.01142206038825541,-0.03034960692560256,-0.03290205996350336,-0.27114410460851535,1.0,0.347459535004883,0.3120669191021297,0.3359071019672828,0.258504304215616,0.15122307827927692,0.016248601200202505,0.29847131333145493,0.32074404029984166,0.20436337220771486,0.14789048636964405,0.21317343788166593,0.1677153343885169,0.36537421963235667
OP_KD,-0.05577832625539132,-0.07070659151050272,-0.347459535004883,-0.10550025854817231,-0.06656579801275533,-0.10661205269359975,-0.11009759410864552,-0.09442320211782078,-0.02307438164429066,-0.13753673119908702,-0.05971258425884299,-0.05679246019712997,-0.03732937567926333,-0.025561618578632206,-0.05106262349469399,-0.10082765208358059,0.347459535004883,1.0,0.07606816308372155,0.03144501510649628,-0.06414784017149876,-0.009904499728280268,-0.039401000532586744,-0.04371047552007911,0.1103553822826232,0.014076006268061679,-0.015527718464008435,0.04084230511534971,0.0033153999684699875,0.16322232290794272
OP_SIG_STR,0.6728007615008608,0.6774199519575164,-0.3120669191021297,-0.14655784876145997,0.6640950812339321,0.5012506441056287,-0.016476425452325937,-0.1407427678538519,-0.02676045178624401,-0.04932524763462609,0.5926662849318887,0.5119609735883601,0.43478268221722055,0.7164035644275748,0.2666613345813774,-0.14495589193298083,0.3120669191021297,0.07606816308372155,1.0,0.8882795299568697,0.15850727092659808,-0.04385556859585176,-0.02488449487489319,0.19839979453036763,0.9333751016862867,0.7602314048915891,0.6248377413416716,0.9407208051710022,0.4899312623149086,0.27111772646028015
OP_TOTAL_STR,0.7098427792166955,0.7190703845365872,-0.3359071019672828,-0.20095632387913906,0.5484246683596576,0.49363421216461534,0.06871185632827714,-0.07836445798534847,0.05392965827515935,0.0930869082057997,0.4798732762918067,0.46060565994788494,0.34749899451497257,0.5563696924704468,0.312188114117113,-0.08690983442377166,0.3359071019672828,0.03144501510649628,0.8882795299568697,1.0,0.3238661441589228,0.030682450506353248,0.05190249659942166,0.46222616719327647,0.829631465799302,0.7004071476740056,0.5288766080198448,0.7547064704029222,0.5589972342344063,0.426333068917318
OP_TD,0.2806246171099814,0.28534231060348075,-0.258504304215616,-0.15262236322359707,0.013096666487946025,0.07496617658654618,-0.0835196285750886,0.1325705941942231,0.22562331440229164,-0.07286021484566445,0.0005916356593659633,0.0787129535210736,-0.029326432644421873,0.0022393454092558026,0.1322782423155363,-0.06388480225977748,0.258504304215616,-0.06414784017149876,0.15850727092659808,0.3238661441589228,1.0,0.12835782314872504,0.09315402206372309,0.7320968525923127,0.1650889211128142,0.11388406209930421,0.05933012519174327,0.032516224983345846,0.15898581103314788,0.39681907359989604
OP_SUB_ATT,0.05709450364158553,0.058906579780179796,-0.15122307827927692,-0.09258235629319406,-0.05697388497517117,0.018241212510887596,0.11832025037576013,0.019985657852437954,0.14703188163647313,0.16495792190976363,-0.03662363485330224,-0.04536434976693091,-0.07436999381121194,-0.10004980706212299,0.011914942096060265,0.09780960560637372,0.15122307827927692,-0.009904499728280268,-0.04385556859585176,0.030682450506353248,0.12835782314872504,1.0,0.1880479668760033,0.18713498546221138,-0.014879679545689462,-0.04678923842510451,-0.08442184569028098,-0.09093441609374263,0.024657169414661815,0.12862933298718393
OP_REV,0.07737190974257362,0.08320398584327134,-0.016248601200202505,-0.05127409557501781,-0.039381013981747585,0.08793855748852442,0.19335108370092957,0.12386880942799501,0.3344511361495164,0.20851865584021234,-0.010734477015776633,-0.031718082850991106,-0.09051346301218678,-0.07974004471267153,0.001429022866257417,0.10330156094470544,0.016248601200202505,-0.039401000532586744,-0.02488449487489319,0.05190249659942166,0.09315402206372309,0.1880479668760033,1.0,0.18841783875478296,-0.0005526730950495222,-0.04077415024382125,-0.055177693124869746,-0.06897039434903166,0.005519978166343993,0.14406751594274922
OP_CTRL,0.35107656902805295,0.3572569187646053,-0.2984713133314548,-0.17287493681958158,-0.0028056656769422134,0.10993388184707477,-0.07269937282005219,0.15246289569756116,0.1978401930495469,-0.04288286534859953,-0.022949241210026675,0.10425961001046545,-0.0518860777105612,-0.04320094784889134,0.22379175130364296,-0.04993641242399274,0.29847131333145493,-0.04371047552007911,0.19839979453036763,0.46222616719327647,0.7320968525923127,0.18713498546221138,0.18841783875478296,1.0,0.19678316727057035,0.16884387025229025,0.07314239968523387,-0.008536702510041327,0.3085391967136217,0.5730527957967231
OP_HEAD,0.5940199164933857,0.5946909921998876,-0.32074404029984166,-0.12851655032686068,0.6197179250018612,0.46688248916418423,-0.015849036012615884,-0.12274786460903742,-0.0025620640691996974,-0.05012819536220448,0.568544712377171,0.46186888715894203,0.3795442957721919,0.6710435603968409,0.21790900049577341,-0.11930185921270342,0.32074404029984166,0.1103553822826232,0.9333751016862867,0.829631465799302,0.1650889211128142,-0.014879679545689462,-0.0005526730950495222,0.19678316727057035,1.0,0.5709379259268483,0.3723258481897059,0.8702776232957827,0.39269566607061507,0.3390562205016112
OP_BODY,0.5497719311945721,0.560287323928333,-0.20436337220771486,-0.13018989841572026,0.5083023403027144,0.40644410564778843,0.023205443890001527,-0.10646864457354847,-0.025071450468892,0.03178908398722308,0.43186424106371407,0.44448721263604635,0.33959447603130843,0.5089352188958318,0.3421742704043703,-0.10076958348613205,0.20436337220771486,0.014076006268061679,0.7602314048915891,0.7004071476740056,0.11388406209930421,-0.04678923842510451,-0.04077415024382125,0.16884387025229025,0.5709379259268483,1.0,0.43345596529208547,0.6719874758330915,0.6106611762434884,0.15160888731427086
OP_LEG,0.4742685232595265,0.48007744496720073,-0.14789048636964405,-0.09541668010694014,0.41192480470484094,0.29084276549096866,-0.04419778171010156,-0.11170062541291118,-0.07251327141814584,-0.08728902860872331,0.3472937498799365,0.30857997237592816,0.3335940652885874,0.4763817107969277,0.11291374187826207,-0.1429922199073093,0.14789048636964405,-0.015527718464008435,0.6248377413416716,0.5288766080198448,0.05933012519174327,-0.08442184569028098,-0.055177693124869746,0.07314239968523387,0.3723258481897059,0.43345596529208547,1.0,0.6512453172892664,0.2458466788805613,-0.00885869338293062
OP_DIST,0.6244733690781668,0.6289890929038093,-0.21317343788166593,-0.09724346632918794,0.7007709764289197,0.4989018837320372,-0.03040127090275543,-0.1661036722269373,-0.06031633496010801,-0.08373572545537421,0.6346923550371756,0.4934983473861808,0.4799081371934126,0.7843294015599954,0.1662545674662531,-0.14845588216688468,0.21317343788166593,0.04084230511534971,0.9407208051710022,0.7547064704029222,0.032516224983345846,-0.09093441609374263,-0.06897039434903166,-0.008536702510041327,0.8702776232957827,0.6719874758330915,0.6512453172892664,1.0,0.2744038376955305,0.0006361295782020636
OP_CLIN,0.3618712401789802,0.37078768160844905,-0.1677153343885169,-0.11355184050508542,0.2869033964100189,0.29944056328010654,0.0800064878836715,-0.03566333693146077,0.02087926154615815,0.14432647569858123,0.22290046637905217,0.3637847223317768,0.13635721730745778,0.19254815949437284,0.5479569317414399,-0.04964555854510345,0.1677153343885169,0.0033153999684699875,0.4899312623149086,0.5589972342344063,0.15898581103314788,0.024657169414661815,0.005519978166343993,0.3085391967136217,0.39269566607061507,0.6106611762434884,0.2458466788805613,0.2744038376955305,1.0,0.13712288907583411
OP_GROUND,0.18453520177263466,0.17923198201177207,-0.36537421963235667,-0.15107118274353382,-0.06373354153833467,-0.012197454871162224,-0.028512589983980974,0.055406082050197966,0.09094453370648188,-0.025902358495282853,-0.061314509358431434,-0.005385350850231159,-0.07303319561905124,-0.06817996586988165,0.00955380529847674,-0.014136646701028911,0.36537421963235667,0.16322232290794272,0.27111772646028015,0.426333068917318,0.39681907359989604,0.12862933298718393,0.14406751594274922,0.5730527957967231,0.3390562205016112,0.15160888731427086,-0.00885869338293062,0.0006361295782020636,0.13712288907583411,1.0
